date,visiting_team,visiting_league,home_team,home_league,time
20180329,CHN,NL,MIA,NL,d
20180329,PIT,NL,DET,AL,d
20180329,SLN,NL,NYN,NL,d
20180329,MIN,AL,BAL,AL,d
20180329,HOU,AL,TEX,AL,d
20180329,NYA,AL,TOR,AL,d
20180329,BOS,AL,TBA,AL,d
20180329,ANA,AL,OAK,AL,d
20180329,MIL,NL,SDN,NL,d
20180329,PHI,NL,ATL,NL,d
20180329,WAS,NL,CIN,NL,d
20180329,CHA,AL,KCA,AL,d
20180329,SFN,NL,LAN,NL,d
20180329,CLE,AL,SEA,AL,n
20180329,COL,NL,ARI,NL,n
20180330,NYA,AL,TOR,AL,n
20180330,BOS,AL,TBA,AL,n
20180330,CHN,NL,MIA,NL,n
20180330,PHI,NL,ATL,NL,n
20180330,HOU,AL,TEX,AL,n
20180330,COL,NL,ARI,NL,n
20180330,ANA,AL,OAK,AL,n
20180330,MIL,NL,SDN,NL,n
20180330,SFN,NL,LAN,NL,n
20180331,PIT,NL,DET,AL,d
20180331,SLN,NL,NYN,NL,d
20180331,WAS,NL,CIN,NL,d
20180331,ANA,AL,OAK,AL,d
20180331,HOU,AL,TEX,AL,d
20180331,NYA,AL,TOR,AL,d
20180331,CLE,AL,SEA,AL,d
20180331,BOS,AL,TBA,AL,n
20180331,MIN,AL,BAL,AL,n
20180331,CHN,NL,MIA,NL,n
20180331,PHI,NL,ATL,NL,n
20180331,CHA,AL,KCA,AL,n
20180331,COL,NL,ARI,NL,n
20180331,MIL,NL,SDN,NL,n
20180331,SFN,NL,LAN,NL,n
20180401,MIN,AL,BAL,AL,d
20180401,NYA,AL,TOR,AL,d
20180401,BOS,AL,TBA,AL,d
20180401,CHN,NL,MIA,NL,d
20180401,PIT,NL,DET,AL,d
20180401,SLN,NL,NYN,NL,d
20180401,CHA,AL,KCA,AL,d
20180401,HOU,AL,TEX,AL,d
20180401,ANA,AL,OAK,AL,d
20180401,CLE,AL,SEA,AL,d
20180401,WAS,NL,CIN,NL,d
20180401,SFN,NL,LAN,NL,n
20180402,MIN,AL,PIT,NL,d
20180402,TBA,AL,NYA,AL,d
20180402,KCA,AL,DET,AL,d
20180402,SLN,NL,MIL,NL,d
20180402,CHN,NL,CIN,NL,d
20180402,CHA,AL,TOR,AL,n
20180402,BAL,AL,HOU,AL,n
20180402,BOS,AL,MIA,NL,n
20180402,PHI,NL,NYN,NL,n
20180402,WAS,NL,ATL,NL,n
20180402,LAN,NL,ARI,NL,n
20180402,TEX,AL,OAK,AL,n
20180402,CLE,AL,ANA,AL,n
20180402,COL,NL,SDN,NL,n
20180403,KCA,AL,DET,AL,d
20180403,SEA,AL,SFN,NL,d
20180403,BOS,AL,MIA,NL,n
20180403,CHN,NL,CIN,NL,n
20180403,CHA,AL,TOR,AL,n
20180403,PHI,NL,NYN,NL,n
20180403,WAS,NL,ATL,NL,n
20180403,SLN,NL,MIL,NL,n
20180403,BAL,AL,HOU,AL,n
20180403,LAN,NL,ARI,NL,n
20180403,TEX,AL,OAK,AL,n
20180403,CLE,AL,ANA,AL,n
20180403,COL,NL,SDN,NL,n
20180404,WAS,NL,ATL,NL,d
20180404,TBA,AL,NYA,AL,d
20180404,KCA,AL,DET,AL,d
20180404,PHI,NL,NYN,NL,d
20180404,BAL,AL,HOU,AL,d
20180404,LAN,NL,ARI,NL,d
20180404,CLE,AL,ANA,AL,d
20180404,MIN,AL,PIT,NL,n
20180404,CHA,AL,TOR,AL,n
20180404,SEA,AL,SFN,NL,d
20180404,SLN,NL,MIL,NL,n
20180404,TEX,AL,OAK,AL,n
20180404,COL,NL,SDN,NL,n
20180405,NYN,NL,WAS,NL,d
20180405,TBA,AL,BOS,AL,d
20180405,MIA,NL,PHI,NL,d
20180405,TEX,AL,OAK,AL,d
20180405,COL,NL,SDN,NL,d
20180405,DET,AL,CHA,AL,d
20180405,SEA,AL,MIN,AL,d
20180405,BAL,AL,NYA,AL,n
20180405,CIN,NL,PIT,NL,n
20180405,ARI,NL,SLN,NL,n
20180405,CHN,NL,MIL,NL,n
20180406,ATL,NL,COL,NL,d
20180406,KCA,AL,CLE,AL,d
20180406,BAL,AL,NYA,AL,n
20180406,CIN,NL,PIT,NL,n
20180406,TOR,AL,TEX,AL,n
20180406,CHN,NL,MIL,NL,n
20180406,SDN,NL,HOU,AL,n
20180406,OAK,AL,ANA,AL,n
20180406,LAN,NL,SFN,NL,n
20180407,BAL,AL,NYA,AL,d
20180407,NYN,NL,WAS,NL,d
20180407,TBA,AL,BOS,AL,d
20180407,DET,AL,CHA,AL,d
20180407,SEA,AL,MIN,AL,d
20180407,ARI,NL,SLN,NL,d
20180407,CHN,NL,MIL,NL,d
20180407,LAN,NL,SFN,NL,d
20180407,KCA,AL,CLE,AL,d
20180407,MIA,NL,PHI,NL,n
20180407,CIN,NL,PIT,NL,n
20180407,SDN,NL,HOU,AL,n
20180407,TOR,AL,TEX,AL,n
20180407,ATL,NL,COL,NL,n
20180407,OAK,AL,ANA,AL,n
20180408,BAL,AL,NYA,AL,d
20180408,TBA,AL,BOS,AL,d
20180408,KCA,AL,CLE,AL,d
20180408,CIN,NL,PIT,NL,d
20180408,MIA,NL,PHI,NL,d
20180408,CHN,NL,MIL,NL,d
20180408,DET,AL,CHA,AL,d
20180408,SDN,NL,HOU,AL,d
20180408,SEA,AL,MIN,AL,d
20180408,ARI,NL,SLN,NL,d
